Name,City,Address,Latitude,Longitude
Винарска Визба Тиквеш,Кавадарци,"Кавадарци, 29-ти Ноември 5",41.4291019,22.0951754
Винарија Попов,Кавадарци,"Кавадарци, Гоце Делчев, с.Росоман 13-а",41.4291019,22.0951754
Тристо Винари,Велес,"Велес, с.Сујаклари",41.4291019,22.0951754
Винарска Визба Тиквеш - дирекција,Скопје,"Скопје, ул.812 2",41.4291019,22.0951754
Винарија Охрид,Охрид,"Охрид, Железничка б.б.",41.4291019,22.0951754
Стоби Винарија,Велес,"Велес, Автопат, с.Градско 2",41.4291019,22.0951754
Филовски винарија - Дирекција,Скопје,"Скопје, 11-ти Октомври 23-а-1/1",41.4291019,22.0951754
Лазар Винарија,Велес,"Велес, Археолошки Локалитет Стоби Градско",41.4291019,22.0951754
Кралска Винарија-Кралица Марија,Демир Капија,"Демир Капија, Маршал Тито 63",41.4291019,22.0951754
Борд лајф винари,Скопје,"Скопје, с.Кучково",41.4291019,22.0951754
Винарија Илиев,Кавадарци,"Кавадарци, с.Сопот",41.4291019,22.0951754
Винарија Кимов,Неготино,"Неготино, Индустриска б.б.",41.4291019,22.0951754
Семејна Винарија Захарчев,Кавадарци,"Кавадарци, Косовска 16",41.4291019,22.0951754
Дивино Винарија,Скопје,"Скопје, бул.Македонска Косовска бригада 30-б",41.4291019,22.0951754
Винарија Томов,Неготино,"Неготино, с.Тимјаник",41.4291019,22.0951754
Винарска Визба Тиквеш-Продавница Центар,Скопје,"Скопје, Томе Пуре 2",41.4291019,22.0951754
Иванов Винарија,Кавадарци,"Кавадарци, Игман 11",41.4291019,22.0951754
Арабеска винарија,Кавадарци,"Кавадарци, с.Сопот",41.4291019,22.0951754
Винар,Скопје,"Скопје, Сремски Фронт 31",41.4291019,22.0951754
Манастирска винарија,Охрид,"Охрид, с.Опеница",41.4291019,22.0951754
Бади Винарија,Кавадарци,"Кавадарци, Пере Тошев 3",41.4291019,22.0951754
Дизајн Центар Инженеринг-Винарија Грков,Кавадарци,"Кавадарци, Народна Младина 3",41.4291019,22.0951754
Винарија-Дестилерија Кабранов,Неготино,"Неготино, Вељко Влаховиќ 23",41.4291019,22.0951754
Винарија Брзанов,Скопје,"Скопје, Ѓорче Петров 4",41.4291019,22.0951754
Винарис,Кавадарци,"Кавадарци, Лазо Мицев 38",41.4291019,22.0951754
Винарска визба Лозар,Битола,"Битола, 8-ми Септември (Владимир Назор)с.Горно Оризари 2-Б",41.4291019,22.0951754
Винова винари,Неготино,"Неготино, Никола Карев 87",41.4291019,22.0951754
Винар Консалтинг,Кавадарци,"Кавадарци, Љубашка 5",41.4291019,22.0951754
Лозница - Национална кафана и винарија,Скопје,"Скопје, М.Т.Гологанов 42",41.4291019,22.0951754
Паруни,Тетово,"Тетово, с.Копанце",41.4291019,22.0951754
Сковин - дирекција,Скопје,"Скопје, 15-ти Корпус 3",41.4291019,22.0951754
Риго-импекс,Скопје,"Скопје, Наум Наумовски Борче 40",41.4291019,22.0951754
Струмичко поле,Струмица,"Струмица, с.Василево",41.4291019,22.0951754
Имако Вино,Штип,"Штип, 6-ти Километар б.б.",41.4291019,22.0951754
Гемакс,Скопје,"Скопје, Лондонска б.б.мезанин лок.25",41.4291019,22.0951754
Бовин,Неготино,"Неготино, Индустриска б.б.",41.4291019,22.0951754
Венец,Неготино,"Неготино, с.Долни Дисан",41.4291019,22.0951754
Дудин,Неготино,"Неготино, Ацо Аџи Илов б.б.",41.4291019,22.0951754
Аневски винерија,Штип,"Штип, Железничка 39",41.4291019,22.0951754
Пеца Комерц,Кавадарци,"Кавадарци, Западен булевар 13",41.4291019,22.0951754
Пивка,Неготино,"Неготино, Индустриска б.б.",41.4291019,22.0951754
Гоце Делчев-Тиквеш,Кавадарци,"Кавадарци, с.Возарци",41.4291019,22.0951754
Ерос трејд,Кавадарци,"Кавадарци, с.Марена",41.4291019,22.0951754
Попова Кула,Демир Капија,"Демир Капија, Булевар на виното 1",41.4291019,22.0951754
ММ Инвестмент - Лозар,Велес,"Велес, Академик Пенчо Давчев (Скопски Пат) 130",41.4291019,22.0951754
